Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
10/11/2021,39.92846,-83.12,Columbus,Ohio,Witness captured blurry image on phone.,Night,White Lady,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
10/18/2022,41.602013,-81.364405,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Morning,White Lady,
1/6/2024,40.077281,-82.915456,Columbus,Ohio,Witness captured blurry image on phone.,Midnight,Headless Spirit,
11/3/2021,41.554029,-81.371584,Cleveland,Ohio,Curtains moved though windows were shut.,Night,Poltergeist,
6/2/2021,39.897043,-83.421268,Columbus,Ohio,Figure disappeared upon approach.,Midnight,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
11/30/2022,39.852449,-82.587134,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
11/22/2021,39.637429,-82.95336,Columbus,Ohio,Figure disappeared upon approach.,Evening,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
5/21/2022,40.22547,-83.356388,Columbus,Ohio,Witness captured blurry image on phone.,Evening,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
9/2/2022,39.853558,-82.962425,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Dawn,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
1/24/2024,40.037322,-82.375131,Columbus,Ohio,Old radio emitted static and a faint melody.,Evening,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
7/9/2023,39.843692,-83.307422,Columbus,Ohio,Scent of old perfume noticed with no source.,Evening,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
3/18/2024,41.575141,-81.254554,Cleveland,Ohio,Curtains moved though windows were shut.,Midnight,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
5/16/2024,41.409788,-81.800674,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Dawn,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
9/16/2021,41.587322,-81.654169,Cleveland,Ohio,Witness captured blurry image on phone.,Morning,Headless Spirit,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
12/24/2024,39.657373,-83.109387,Columbus,Ohio,Scent of old perfume noticed with no source.,Midnight,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2/5/2022,39.890306,-82.832256,Columbus,Ohio,Disembodied voice whispered a name.,Dawn,Poltergeist,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
3/25/2023,41.577359,-81.801094,Cleveland,Ohio,Local dog barking frantically before sighting.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
5/27/2024,40.031658,-83.643584,Columbus,Ohio,Disembodied voice whispered a name.,Afternoon,Headless Spirit,
4/28/2025,41.438624,-81.757215,Cleveland,Ohio,Glowing orb photographed in backyard.,Midnight,Headless Spirit,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
12/14/2021,40.289316,-82.952512,Columbus,Ohio,Figure disappeared upon approach.,Afternoon,Shadow Figure,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
6/22/2021,39.859942,-83.189908,Columbus,Ohio,Witness reported cold spots and flickering lights.,Morning,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
6/21/2025,41.732845,-81.960539,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
5/24/2022,41.416176,-81.520946,Cleveland,Ohio,Figure disappeared upon approach.,Evening,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
8/6/2022,40.013954,-83.370123,Columbus,Ohio,Curtains moved though windows were shut.,Afternoon,White Lady,
3/23/2021,39.837368,-82.714384,Columbus,Ohio,Scent of old perfume noticed with no source.,Evening,Orbs,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
12/23/2023,39.620647,-83.281427,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Full-Body Apparition,
2/13/2021,41.614123,-82.003486,Cleveland,Ohio,Old radio emitted static and a faint melody.,Morning,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
2/25/2021,41.420016,-81.659808,Cleveland,Ohio,Apparition seen floating near old church grounds.,Night,Phantom Sounds,
3/13/2025,41.905213,-81.743954,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Night,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
6/21/2022,39.761092,-82.922409,Columbus,Ohio,Witness reported cold spots and flickering lights.,Dawn,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
8/30/2025,42.0339,-81.68288,Cleveland,Ohio,Glowing orb photographed in backyard.,Morning,Orbs,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
1/25/2021,40.122137,-83.104059,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Evening,Full-Body Apparition,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
1/17/2023,41.126228,-81.690931,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Morning,Full-Body Apparition,
6/1/2022,41.59569,-82.043521,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Dawn,Headless Spirit,
5/11/2022,40.02073,-82.979914,Columbus,Ohio,Glowing orb photographed in backyard.,Morning,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
8/18/2023,40.010344,-82.966536,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Dawn,Shadow Figure,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
8/26/2022,40.03535,-82.932238,Columbus,Ohio,Scent of old perfume noticed with no source.,Night,Poltergeist,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
10/29/2021,41.404446,-81.748495,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Morning,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
7/23/2023,40.047579,-83.06624,Columbus,Ohio,Local dog barking frantically before sighting.,Night,White Lady,
10/17/2022,39.574609,-82.648495,Columbus,Ohio,Curtains moved though windows were shut.,Midnight,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
8/14/2025,41.488239,-81.571819,Cleveland,Ohio,Scent of old perfume noticed with no source.,Dawn,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
6/7/2025,41.411425,-81.667213,Cleveland,Ohio,Scent of old perfume noticed with no source.,Dawn,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
11/26/2022,41.503879,-81.669828,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Morning,Full-Body Apparition,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
5/15/2021,39.837749,-82.996512,Columbus,Ohio,Disembodied voice whispered a name.,Midnight,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
3/5/2023,39.596956,-83.195056,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,
7/13/2023,41.578802,-81.437935,Cleveland,Ohio,Glowing orb photographed in backyard.,Night,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
8/9/2024,40.312692,-83.195496,Columbus,Ohio,Glowing orb photographed in backyard.,Midnight,Headless Spirit,
10/1/2021,40.045788,-83.058399,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,White Lady,
2/14/2021,41.377448,-80.916873,Cleveland,Ohio,Old radio emitted static and a faint melody.,Evening,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
9/16/2023,41.657587,-80.935481,Cleveland,Ohio,Figure disappeared upon approach.,Night,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
10/3/2024,39.932881,-82.558234,Columbus,Ohio,Figure disappeared upon approach.,Dawn,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
3/15/2022,41.451488,-81.726166,Cleveland,Ohio,Local dog barking frantically before sighting.,Morning,White Lady,
11/18/2022,41.617283,-81.746412,Cleveland,Ohio,Figure disappeared upon approach.,Evening,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
10/1/2024,40.397017,-82.784096,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Night,Orbs,
12/8/2021,41.113271,-82.269211,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
1/24/2021,39.936148,-83.002202,Columbus,Ohio,Disembodied voice whispered a name.,Afternoon,Full-Body Apparition,
7/19/2021,40.017374,-83.056154,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Orbs,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
1/22/2025,41.209106,-81.201492,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,Headless Spirit,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
9/6/2023,41.255011,-81.635033,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Night,Orbs,
7/19/2023,41.679361,-81.553621,Cleveland,Ohio,Disembodied voice whispered a name.,Afternoon,Poltergeist,
4/18/2021,40.162314,-83.002158,Columbus,Ohio,Witness reported cold spots and flickering lights.,Evening,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
7/5/2024,40.234741,-83.303528,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Headless Spirit,
3/20/2021,40.070227,-83.574345,Columbus,Ohio,Curtains moved though windows were shut.,Night,Headless Spirit,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
1/18/2021,39.928086,-83.005143,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
4/15/2024,39.945545,-82.874294,Columbus,Ohio,Curtains moved though windows were shut.,Night,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
12/25/2023,41.414096,-81.750485,Cleveland,Ohio,Curtains moved though windows were shut.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
1/22/2023,41.412129,-81.552372,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Midnight,Phantom Sounds,
5/12/2025,41.953189,-81.739248,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Night,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
10/24/2024,41.245754,-82.151687,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Dawn,Shadow Figure,
4/26/2021,39.830654,-83.441224,Columbus,Ohio,Local dog barking frantically before sighting.,Afternoon,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
4/29/2024,41.604469,-81.62515,Cleveland,Ohio,Old radio emitted static and a faint melody.,Night,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
9/20/2023,40.163553,-83.199728,Columbus,Ohio,Witness captured blurry image on phone.,Morning,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
9/28/2020,39.959033,-82.67321,Columbus,Ohio,Old radio emitted static and a faint melody.,Night,Shadow Figure,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
6/15/2023,41.507336,-82.248994,Cleveland,Ohio,Glowing orb photographed in backyard.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
12/24/2021,40.009635,-82.999216,Columbus,Ohio,Disembodied voice whispered a name.,Afternoon,Headless Spirit,
5/12/2023,41.670171,-81.864726,Cleveland,Ohio,Disembodied voice whispered a name.,Morning,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
10/28/2021,40.017166,-82.938884,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Night,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
12/31/2021,41.538558,-81.513322,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Evening,Poltergeist,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
5/11/2025,41.508997,-81.83401,Cleveland,Ohio,Apparition matched description of local legend.,Dawn,Full-Body Apparition,
1/31/2025,40.194428,-82.919431,Columbus,Ohio,Figure disappeared upon approach.,Evening,Orbs,
1/9/2024,39.989242,-83.021893,Columbus,Ohio,Apparition seen floating near old church grounds.,Evening,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
12/16/2023,41.443019,-81.679918,Cleveland,Ohio,Figure disappeared upon approach.,Midnight,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
12/12/2021,39.976023,-83.049187,Columbus,Ohio,Glowing orb photographed in backyard.,Evening,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
3/11/2023,39.754924,-82.809155,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Midnight,Poltergeist,
3/27/2024,39.845086,-83.168315,Columbus,Ohio,Scent of old perfume noticed with no source.,Evening,Headless Spirit,
4/15/2023,41.274303,-81.625583,Cleveland,Ohio,Figure disappeared upon approach.,Dawn,Shadow Figure,
7/13/2024,41.516399,-81.582355,Cleveland,Ohio,Disembodied voice whispered a name.,Night,Orbs,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
10/23/2021,41.812651,-81.54102,Cleveland,Ohio,Apparition seen floating near old church grounds.,Evening,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
1/18/2025,39.639322,-82.509324,Columbus,Ohio,Local dog barking frantically before sighting.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
3/4/2021,41.426259,-81.563411,Cleveland,Ohio,Local dog barking frantically before sighting.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2/25/2024,41.298479,-81.871788,Cleveland,Ohio,Glowing orb photographed in backyard.,Morning,Orbs,
5/4/2024,39.979169,-82.742441,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Midnight,Headless Spirit,
2/9/2023,41.253538,-81.679628,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Morning,Full-Body Apparition,
1/18/2024,40.245959,-82.797034,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
8/22/2025,41.234501,-81.905198,Cleveland,Ohio,Apparition seen floating near old church grounds.,Dawn,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
3/27/2022,39.574593,-82.852254,Columbus,Ohio,Old radio emitted static and a faint melody.,Evening,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2/10/2025,41.421239,-82.395411,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Morning,Phantom Sounds,
5/29/2024,40.206991,-82.988292,Columbus,Ohio,Old radio emitted static and a faint melody.,Dawn,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
11/13/2021,41.102649,-82.306349,Cleveland,Ohio,Curtains moved though windows were shut.,Night,Headless Spirit,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
6/5/2022,39.973971,-83.061716,Columbus,Ohio,Figure disappeared upon approach.,Morning,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
12/5/2021,41.625052,-81.449902,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Morning,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2/26/2023,40.206908,-83.033127,Columbus,Ohio,Apparition matched description of local legend.,Evening,Shadow Figure,
8/19/2024,39.911756,-83.231542,Columbus,Ohio,Scent of old perfume noticed with no source.,Dawn,Orbs,
3/26/2021,40.090759,-82.925618,Columbus,Ohio,Witness captured blurry image on phone.,Morning,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
8/20/2024,41.67792,-81.987518,Cleveland,Ohio,Glowing orb photographed in backyard.,Dawn,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
10/9/2024,39.901821,-82.915928,Columbus,Ohio,Local dog barking frantically before sighting.,Midnight,Orbs,
2/11/2022,39.989356,-82.921285,Columbus,Ohio,Apparition seen floating near old church grounds.,Evening,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
4/29/2021,39.574193,-83.039467,Columbus,Ohio,Disembodied voice whispered a name.,Afternoon,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
5/6/2022,40.060415,-83.18812,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Dawn,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
6/10/2022,41.548494,-81.439414,Cleveland,Ohio,Old radio emitted static and a faint melody.,Midnight,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
12/14/2024,40.430289,-82.908794,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Evening,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
12/19/2021,39.952382,-83.212668,Columbus,Ohio,Old radio emitted static and a faint melody.,Morning,Headless Spirit,
7/16/2025,39.882107,-82.870967,Columbus,Ohio,Curtains moved though windows were shut.,Dawn,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
6/24/2023,41.464765,-81.636156,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Evening,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
8/3/2021,40.966617,-82.198109,Cleveland,Ohio,Curtains moved though windows were shut.,Evening,Poltergeist,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
4/17/2021,39.978889,-83.096355,Columbus,Ohio,Figure disappeared upon approach.,Dawn,Phantom Sounds,
10/24/2023,39.980449,-82.80948,Columbus,Ohio,Glowing orb photographed in backyard.,Afternoon,White Lady,
5/6/2024,41.594867,-81.741005,Cleveland,Ohio,Apparition matched description of local legend.,Midnight,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
10/14/2021,40.044698,-82.79876,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
7/1/2025,41.418654,-81.877316,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
5/30/2025,41.409929,-81.896396,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,
2/14/2022,41.536826,-82.180785,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Night,Headless Spirit,
3/26/2025,41.556979,-81.625909,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Dawn,White Lady,
1/9/2025,40.084747,-83.522536,Columbus,Ohio,Local dog barking frantically before sighting.,Dawn,White Lady,
10/29/2024,40.003445,-82.940975,Columbus,Ohio,Apparition seen floating near old church grounds.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
7/8/2021,41.543192,-81.738938,Cleveland,Ohio,Figure disappeared upon approach.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
4/10/2023,41.238859,-81.498203,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Night,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
3/2/2021,39.676721,-83.047097,Columbus,Ohio,Glowing orb photographed in backyard.,Evening,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
3/12/2022,39.960085,-82.983144,Columbus,Ohio,Apparition matched description of local legend.,Night,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
8/14/2024,41.507628,-81.025551,Cleveland,Ohio,Witness captured blurry image on phone.,Dawn,Phantom Sounds,
1/11/2022,39.962427,-82.9953,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Evening,Poltergeist,
9/11/2024,40.030887,-83.057723,Columbus,Ohio,Disembodied voice whispered a name.,Night,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
12/31/2024,39.539917,-82.508367,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Dawn,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2/12/2021,41.078907,-81.197939,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
12/7/2022,39.912282,-82.909056,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Evening,Full-Body Apparition,
9/13/2023,41.55013,-81.469885,Cleveland,Ohio,Local dog barking frantically before sighting.,Night,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
10/16/2021,39.887186,-83.626021,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Morning,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
5/31/2025,42.216927,-81.43114,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Afternoon,Headless Spirit,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
3/13/2024,41.566214,-81.516004,Cleveland,Ohio,Figure disappeared upon approach.,Morning,Full-Body Apparition,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
